date,IPRC
2017/3/29,0.8591173
2017/3/30,0.8591173
2017/3/31,0.5107132
2017/4/1,0.5107132
2017/4/2,0.8591173
2017/4/3,0.8591173
2017/4/4,0.5107132
2017/4/5,0.5107132
2017/4/6,0.8591173
2017/4/7,1.4208032
2017/4/8,0.8591173
2017/4/9,0.5107132
2017/4/10,0.5107132
2017/4/11,0.5107132
2017/4/12,0.8591173
2017/4/13,0.5107132
2017/4/14,0.5107132
2017/4/15,0.5107132
2017/4/16,0.5107132
2017/4/17,0.35238123
2017/4/18,0.5107132
2017/4/19,0.35238123
2017/4/20,0.35238123
2017/4/21,0.5107132
2017/4/22,0.5107132
2017/4/23,0.8591173
2017/4/24,0.5107132
2017/4/25,0.5107132
2017/4/26,0.5107132
2017/4/27,0.5107132
2017/4/28,0.5107132
2017/4/29,0.5107132
2017/4/30,0.35238123
2017/5/1,0.8591173
2017/5/2,0.8591173
2017/5/3,0.5107132
2017/5/4,0.35238123
2017/5/5,0.35238123
2017/5/6,0.5107132
2017/5/7,0.8591173
2017/5/8,0.8591173
2017/5/9,0.8591173
2017/5/10,0.8591173
2017/5/11,0.8591173
2017/5/12,0.8591173
2017/5/13,0.8591173
2017/5/14,0.5107132
2017/5/15,0.5107132
2017/5/16,0.5107132
2017/5/17,0.8591173
2017/5/18,0.8591173
2017/5/19,0.8591173
2017/5/20,0.5107132
2017/5/21,0.8591173
2017/5/22,0.5107132
2017/5/23,0.5107132
2017/5/24,0.5107132
2017/5/25,0.5107132
2017/5/26,0.5107132
2017/5/27,0.8591173
2017/5/28,0.8591173
2017/5/29,0.8591173
2017/5/30,0.5107132
2017/5/31,0.5107132
2017/6/1,0.5107132
2017/6/2,0.5107132
2017/6/3,0.5107132
2017/6/4,0.5107132
2017/6/5,0.8591173
2017/6/6,0.5107132
2017/6/7,0.5107132
2017/6/8,0.5107132
2017/6/9,0.5107132
2017/6/10,0.8591173
2017/6/11,0.5107132
2017/6/12,0.5107132
2017/6/13,0.5107132
2017/6/14,0.5107132
2017/6/15,0.5107132
2017/6/16,0.8591173
2017/6/17,0.8591173
2017/6/18,0.8591173
2017/6/19,0.5107132
2017/6/20,0.5107132
2017/6/21,0.8591173
2017/6/22,0.5107132
2017/6/23,0.5107132
2017/6/24,0.5107132
2017/6/25,0.5107132
2017/6/26,0.5107132
2017/6/27,0.5107132
2017/6/28,0.8591173
2017/6/29,0.5107132
2017/6/30,0.5107132
2017/7/1,0.5107132
